,Title,Artist,Year
1748,Blue (Da Ba Dee),Eiffel 65,2000
1749,Desert Rose,Sting,2000
1750,The Real Slim Shady,Eminem,2000
1751,Most Girls,Pink,2000
1752,Wifey,Next,2000
1753,Wonderful,Everclear,2000
1754,Oops!... I Did It Again,Britney Spears,2000
1755,I Wanna Love You Forever,Jessica Simpson,2000
1756,Give Me Just One Night (Una Noche),98 Degrees,2000
1757,Take a Picture,Filter,2000
1758,Otherside,Red Hot Chili Peppers,2000
1759,Big Pimpin',Jay-Z,2000
1760,A Puro Dolor,Son by Four,2000
1761,He Can't Love U,Jagged Edge,2000
1762,Separated,Avant,2000
1763,I Wish,Carl Thomas,2000
1764,U Know What's Up,Donell Jones,2000
1765,Faded,soulDecision,2000
1766,Only God Knows Why,Kid Rock,2000
1767,Shake Ya Ass,Mystikal,2000
1768,Bag Lady,Erykah Badu,2000
1769,Meet Virginia,Train,2000
1770,Party Up (Up in Here),DMX,2000
1771,Case of the Ex,Mýa,2000
1772,Forgot About Dre,Dr. Dre,2000
1773,That's the Way,Jo Dee Messina,2000
1774,Swear It Again,Westlife,2000
1775,The Next Episode,Dr. Dre,2000
1776,From the Bottom of My Broken Heart,Britney Spears,2000
1777,Crash and Burn,Savage Garden,2000
1778,Yes!,Chad Brock,2000
1779,The Best Day,George Strait,2000
1780,Where I Wanna Be,Donell Jones,2000
1781,How Do You Like Me Now?!,Toby Keith,2000
1782,My Best Friend,Tim McGraw,2000
1783,Broadway,Goo Goo Dolls,2000
1784,What'chu Like,Da Brat,2000
1785,Don't Think I'm Not,Kandi,2000
1786,I Hope You Dance,Lee Ann Womack,2000
1787,Better Off Alone,Alice Deejay,2000
1788,Dance with Me,Debelah Morgan,2000
1789,What About Now,Lonestar,2000
1790,I Like It,Sammie,2000
1791,24/7,Kevon Edmonds,2000
1792,Girl on TV,LFO,2000
1793,Bounce with Me,Lil' Bow Wow,2000
1794,Cowboy Take Me Away,Dixie Chicks,2000
1795,I Don't Wanna,Aaliyah,2000
1796,Independent Women,Destiny's Child,2000
1797,Gotta Tell You,Samantha Mumba,2000
1798,Waiting for Tonight,Jennifer Lopez,2000
1799,Shackles (Praise You),Mary Mary,2000
1800,Hanging by a Moment,Lifehouse,2001
1801,Fallin',Alicia Keys,2001
1802,All for You,Janet Jackson,2001
1803,Drops of Jupiter (Tell Me),Train,2001
1804,I'm Real (Murder Remix),Jennifer Lopez,2001
1805,If You're Gone,Matchbox Twenty,2001
1806,Let Me Blow Ya Mind,Eve,2001
1807,Thank You,Dido,2001
1808,Again,Lenny Kravitz,2001
1809,Independent Women,Destiny's Child,2001
1810,Hit 'Em Up Style (Oops!),Blu Cantrell,2001
1811,It Wasn't Me,Shaggy,2001
1812,Stutter,Joe,2001
1813,It's Been Awhile,Staind,2001
1814,U Remind Me,Usher,2001
1815,Where the Party At,Jagged Edge,2001
1816,Angel,Shaggy,2001
1817,Ride wit Me,Nelly,2001
1818,Follow Me,Uncle Kracker,2001
1819,Peaches & Cream,112,2001
1820,Drive,Incubus,2001
1821,What Would You Do?,City High,2001
1822,Survivor,Destiny's Child,2001
1823,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa and Pink",2001
1824,Ms. Jackson,OutKast,2001
1825,Love Don't Cost a Thing,Jennifer Lopez,2001
1826,The Way You Love Me,Faith Hill,2001
1827,He Loves U Not,Dream,2001
1828,Butterfly,Crazy Town,2001
1829,Put It on Me,Ja Rule,2001
1830,Family Affair,Mary J. Blige,2001
1831,I Hope You Dance,Lee Ann Womack,2001
1832,South Side,Moby,2001
1833,Don't Tell Me,Madonna,2001
1834,Get Ur Freak On,Missy Elliott,2001
1835,Crazy,K-Ci & JoJo,2001
1836,Fill Me In,Craig David,2001
1837,Someone to Call My Lover,Janet Jackson,2001
1838,With Arms Wide Open,Creed,2001
1839,Case of the Ex,Mýa,2001
1840,All or Nothing,O-Town,2001
1841,Bootylicious,Destiny's Child,2001
1842,I'm Like a Bird,Nelly Furtado,2001
1843,Kryptonite,3 Doors Down,2001
1844,Fiesta,R. Kelly,2001
1845,When It's Over,Sugar Ray,2001
1846,Jaded,Aerosmith,2001
1847,Promise,Jagged Edge,2001
1848,Missing You,Case,2001
1849,Differences,Ginuwine,2001
1850,This I Promise You,'N Sync,2001
1851,Izzo (H.O.V.A.),Jay-Z,2001
1852,Superwoman Pt. II,Lil' Mo,2001
1853,Crazy for This Girl,Evan and Jaron,2001
1854,Nobody Wants to Be Lonely,Ricky Martin and Christina Aguilera,2001
1855,I Just Wanna Love U (Give It 2 Me),Jay-Z,2001
1856,One Minute Man,Missy Elliott,2001
1857,Danger (Been So Long),Mystikal,2001
1858,Only Time,Enya,2001
1859,I Do!!,Toya,2001
1860,Never Had a Dream Come True,S Club 7,2001
1861,Stranger in My House,Tamia,2001
1862,Irresistible,Jessica Simpson,2001
1863,Heard It All Before,Sunshine Anderson,2001
1864,The Space Between,Dave Matthews Band,2001
1865,There You'll Be,Faith Hill,2001
1866,Love,Musiq Soulchild,2001
1867,It's Over Now,112,2001
1868,No More (Baby I'ma Do Right),3LW,2001
1869,Turn Off the Light,Nelly Furtado,2001
1870,Ain't Nothing 'bout You,Brooks & Dunn,2001
1871,Play,Jennifer Lopez,2001
1872,I'm Already There,Lonestar,2001
1873,My Baby,Lil' Romeo,2001
1874,Beautiful Day,U2,2001
1875,Austin,Blake Shelton,2001
1876,Southern Hospitality,Ludacris,2001
1877,Grown Men Don't Cry,Tim McGraw,2001
1878,Livin' It Up,Ja Rule,2001
1879,Loverboy,Mariah Carey,2001
1880,Contagious,The Isley Brothers,2001
1881,Who I Am,Jessica Andrews,2001
1882,Music,Erick Sermon,2001
1883,I Wanna Be Bad,Willa Ford,2001
1884,Don't Happen Twice,Kenny Chesney,2001
1885,One More Day,Diamond Rio,2001
1886,I Wish,R. Kelly,2001
1887,It's a Great Day to Be Alive,Travis Tritt,2001
1888,I'm a Thug,Trick Daddy,2001
1889,Here's to the Night,Eve 6,2001
1890,You Shouldn't Kiss Me Like This,Toby Keith,2001
1891,Get Over Yourself,Eden's Crush,2001
1892,Dance with Me,Debelah Morgan,2001
1893,So Fresh So Clean,Outkast,2001
1894,E.I.,Nelly,2001
1895,Be Like That,3 Doors Down,2001
1896,Most Girls,Pink,2001
1897,Oochie Wally,Nas and Bravehearts,2001
1898,Hero,Enrique Iglesias,2001
1899,Hemorrhage (In My Hands),Fuel,2001
1900,How You Remind Me,Nickelback,2002
1901,Foolish,Ashanti,2002
1902,Hot in Herre,Nelly,2002
1903,Dilemma,Nelly,2002
1904,Wherever You Will Go,The Calling,2002
1905,A Thousand Miles,Vanessa Carlton,2002
1906,In the End,Linkin Park,2002
1907,What's Luv?,Fat Joe,2002
1908,U Got It Bad,Usher,2002
1909,Blurry,Puddle of Mudd,2002
1910,Complicated,Avril Lavigne,2002
1911,Always on Time,Ja Rule,2002
1912,Ain't It Funny (Murder Remix),Jennifer Lopez,2002
1913,The Middle,Jimmy Eat World,2002
1914,I Need a Girl (Part One),P. Diddy,2002
1915,U Don't Have to Call,Usher,2002
1916,Family Affair,Mary J. Blige,2002
1917,I Need a Girl (Part Two),P. Diddy,2002
1918,Gangsta Lovin',Eve,2002
1919,My Sacrifice,Creed,2002
1920,Without Me,Eminem,2002
1921,Hero,Enrique Iglesias,2002
1922,All You Wanted,Michelle Branch,2002
1923,Get the Party Started,Pink,2002
1924,Hero,Chad Kroeger,2002
1925,Wasting My Time,Default,2002
1926,One Last Breath,Creed,2002
1927,"Whenever, Wherever",Shakira,2002
1928,I'm Gonna Be Alright,Jennifer Lopez,2002
1929,Oh Boy,Cam'ron,2002
1930,Heaven,DJ Sammy,2002
1931,Hey Baby,No Doubt,2002
1932,Girlfriend,'N Sync,2002
1933,Just a Friend 2002,Mario,2002
1934,Soak Up the Sun,Sheryl Crow,2002
1935,Don't Let Me Get Me,Pink,2002
1936,Nothin',N.O.R.E.,2002
1937,Oops (Oh My),Tweet,2002
1938,A Moment Like This,Kelly Clarkson,2002
1939,Addictive,Truth Hurts,2002
1940,Happy,Ashanti,2002
1941,No Such Thing,John Mayer,2002
1942,Just Like a Pill,Pink,2002
1943,Down 4 U,Ja Rule,2002
1944,Can't Get You Out of My Head,Kylie Minogue,2002
1945,Superman (It's Not Easy),Five for Fighting,2002
1946,Cleanin' Out My Closet,Eminem,2002
1947,Halfcrazy,Musiq Soulchild,2002
1948,"Lights, Camera, Action!",Mr. Cheeks,2002
1949,Still Fly,Big Tymers,2002
1950,A Woman's Worth,Alicia Keys,2002
1951,7 Days,Craig David,2002
1952,Hey Ma,Cam'ron,2002
1953,Work It,Missy Elliott,2002
1954,Move Bitch,Ludacris,2002
1955,Can't Fight the Moonlight,LeAnn Rimes,2002
1956,Escape,Enrique Iglesias,2002
1957,More than a Woman,Aaliyah,2002
1958,Hella Good,No Doubt,2002
1959,I Love You,Faith Evans,2002
1960,Gotta Get thru This,Daniel Bedingfield,2002
1961,"Pass the Courvoisier, Part II",Busta Rhymes,2002
1962,Lose Yourself,Eminem,2002
1963,Butterflies,Michael Jackson,2002
1964,What About Us?,Brandy,2002
1965,Underneath Your Clothes,Shakira,2002
1966,Rainy Dayz,Mary J. Blige,2002
1967,Differences,Ginuwine,2002
1968,If I Could Go!,Angie Martinez,2002
1969,The Whole World,Outkast,2002
1970,Underneath It All,No Doubt,2002
1971,Caramel,City High,2002
1972,Luv U Better,LL Cool J,2002
1973,Gimme the Light,Sean Paul,2002
1974,Gone,'N Sync,2002
1975,Livin' It Up,Ja Rule,2002
1976,Rollout (My Business),Ludacris,2002
1977,Here Is Gone,Goo Goo Dolls,2002
1978,No More Drama,Mary J. Blige,2002
1979,Days Go By,Dirty Vegas,2002
1980,Baby,Ashanti,2002
1981,The Good Stuff,Kenny Chesney,2002
1982,We Thuggin',Fat Joe,2002
1983,Good Morning Beautiful,Steve Holy,2002
1984,Rock the Boat,Aaliyah,2002
1985,Drive (For Daddy Gene),Alan Jackson,2002
1986,Standing Still,Jewel,2002
1987,Anything,Jaheim,2002
1988,Full Moon,Brandy,2002
1989,Uh Huh,B2K,2002
1990,A New Day Has Come,Celine Dion,2002
1991,Turn Off the Light,Nelly Furtado,2002
1992,Living and Living Well,George Strait,2002
1993,My List,Toby Keith,2002
1994,Hands Clean,Alanis Morissette,2002
1995,Sk8er Boi,Avril Lavigne,2002
1996,Long Time Gone,Dixie Chicks,2002
1997,Where Were You (When the World Stopped Turning),Alan Jackson,2002
1998,Like I Love You,Justin Timberlake,2002
1999,I Do!!,Toya,2002
2000,In Da Club,50 Cent,2003
2001,Ignition (Remix),R. Kelly,2003
2002,Get Busy,Sean Paul,2003
2003,Crazy in Love,Beyoncé,2003
2004,When I'm Gone,3 Doors Down,2003
2005,Unwell,Matchbox Twenty,2003
2006,Right Thurr,Chingy,2003
2007,Miss You,Aaliyah,2003
2008,Picture,Kid Rock,2003
2009,Bring Me to Life,Evanescence,2003
2010,Get Low,Lil Jon & The East Side Boyz,2003
2011,Baby Boy,Beyoncé,2003
2012,Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee",2003
2013,21 Questions,50 Cent,2003
2014,All I Have,Jennifer Lopez,2003
2015,Beautiful,Christina Aguilera,2003
2016,I Know What You Want,Busta Rhymes and Mariah Carey,2003
2017,I'm with You,Avril Lavigne,2003
2018,Drift Away,Uncle Kracker,2003
2019,Magic Stick,Lil' Kim,2003
2020,P.I.M.P.,50 Cent,2003
2021,"Bump, Bump, Bump",B2K and P. Diddy,2003
2022,Into You,Fabolous,2003
2023,Can't Let You Go,Fabolous,2003
2024,Mesmerize,Ja Rule,2003
2025,Where Is the Love?,The Black Eyed Peas,2003
2026,The Game of Love,Santana,2003
2027,Lose Yourself,Eminem,2003
2028,Rock wit U (Awww Baby),Ashanti,2003
2029,Cry Me a River,Justin Timberlake,2003
2030,How You Gonna Act Like That,Tyrese,2003
2031,Rock Your Body,Justin Timberlake,2003
2032,No Letting Go,Wayne Wonder,2003
2033,Frontin',Pharrell,2003
2034,Landslide,Dixie Chicks,2003
2035,Work It,Missy Elliott,2003
2036,'03 Bonnie & Clyde,Jay-Z,2003
2037,Don't Mess with My Man,Nivea,2003
2038,So Gone,Monica,2003
2039,Air Force Ones,Nelly,2003
2040,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,2003
2041,Beautiful,Snoop Dogg,2003
2042,Gossip Folks,Missy Elliott,2003
2043,Miss Independent,Kelly Clarkson,2003
2044,Calling All Angels,Train,2003
2045,Damn!,YoungBloodZ,2003
2046,This Is the Night,Clay Aiken,2003
2047,Your Body Is a Wonderland,John Mayer,2003
2048,Headstrong,Trapt,2003
2049,In Those Jeans,Ginuwine,2003
2050,Stand Up,Ludacris,2003
2051,The Remedy (I Won't Worry),Jason Mraz,2003
2052,Why Don't You & I,Santana,2003
2053,Excuse Me Miss,Jay-Z,2003
2054,Jenny from the Block,Jennifer Lopez,2003
2055,Are You Happy Now?,Michelle Branch,2003
2056,Forever and for Always,Shania Twain,2003
2057,I Can,Nas,2003
2058,Underneath It All,No Doubt,2003
2059,If You're Not the One,Daniel Bedingfield,2003
2060,Thoia Thoing,R. Kelly,2003
2061,Here Without You,3 Doors Down,2003
2062,Wanksta,50 Cent,2003
2063,My Love Is Like...Wo,Mýa,2003
2064,It's Five O'Clock Somewhere,Alan Jackson,2003
2065,Like Glue,Sean Paul,2003
2066,Can't Hold Us Down,Christina Aguilera,2003
2067,My Front Porch Looking In,Lonestar,2003
2068,Angel,Amanda Perez,2003
2069,She Hates Me,Puddle of Mudd,2003
2070,Don't Wanna Try,Frankie J,2003
2071,The Jump Off,Lil' Kim,2003
2072,Intuition,Jewel,2003
2073,Hell Yeah,Ginuwine,2003
2074,Beer for My Horses,Toby Keith,2003
2075,Holidae In,Chingy,2003
2076,Suga Suga,Baby Bash,2003
2077,Love of My Life (An Ode to Hip-Hop),Erykah Badu,2003
2078,Fighter,Christina Aguilera,2003
2079,Thugz Mansion,2Pac,2003
2080,Clocks,Coldplay,2003
2081,Put That Woman First,Jaheim,2003
2082,Rain on Me,Ashanti,2003
2083,19 Somethin',Mark Wills,2003
2084,"Can't Stop, Won't Stop",Young Gunz,2003
2085,Red Dirt Road,Brooks & Dunn,2003
2086,What Was I Thinkin',Dierks Bentley,2003
2087,Flying Without Wings,Ruben Studdard,2003
2088,Sing for the Moment,Eminem,2003
2089,Have You Forgotten?,Darryl Worley,2003
2090,"No Shoes, No Shirt, No Problems",Kenny Chesney,2003
2091,Come Over,Aaliyah,2003
2092,Sick of Being Lonely,Field Mob,2003
2093,Step in the Name of Love,R. Kelly,2003
2094,I Want You,Thalía,2003
2095,Like a Stone,Audioslave,2003
2096,Don't Know Why,Norah Jones,2003
2097,Superman,Eminem,2003
2098,Real Good Man,Tim McGraw,2003
2099,Say Yes,Floetry,2003
2100,Yeah!,Usher,2004
2101,Burn,Usher,2004
2102,If I Ain't Got You,Alicia Keys,2004
2103,This Love,Maroon 5,2004
2104,The Way You Move,OutKast,2004
2105,The Reason,Hoobastank,2004
2106,I Don't Wanna Know,Mario Winans,2004
2107,Hey Ya!,OutKast,2004
2108,Goodies,Ciara,2004
2109,Lean Back,Terror Squad,2004
2110,Tipsy,J-Kwon,2004
2111,Confessions Part II,Usher,2004
2112,Slow Motion,Juvenile,2004
2113,Freek-a-Leek,Petey Pablo,2004
2114,Here Without You,3 Doors Down,2004
2115,Slow Jamz,Twista,2004
2116,Someday,Nickelback,2004
2117,Naughty Girl,Beyoncé,2004
2118,My Immortal,Evanescence,2004
2119,Sunshine,Lil' Flip,2004
2120,Dirt Off Your Shoulder,Jay-Z,2004
2121,Move Ya Body,Nina Sky,2004
2122,Dip It Low,Christina Milian,2004
2123,My Boo,Usher and Alicia Keys,2004
2124,One Call Away,Chingy,2004
2125,"Me, Myself and I",Beyoncé,2004
2126,Turn Me On,Kevin Lyttle,2004
2127,The First Cut Is the Deepest,Sheryl Crow,2004
2128,You Don't Know My Name,Alicia Keys,2004
2129,My Place,Nelly,2004
2130,Overnight Celebrity,Twista,2004
2131,Hotel,Cassidy,2004
2132,Numb,Linkin Park,2004
2133,Diary,Alicia Keys,2004
2134,She Will Be Loved,Maroon 5,2004
2135,White Flag,Dido,2004
2136,Heaven,Los Lonely Boys,2004
2137,It's My Life,No Doubt,2004
2138,Pieces of Me,Ashlee Simpson,2004
2139,Leave (Get Out),JoJo,2004
2140,Milkshake,Kelis,2004
2141,Splash Waterfalls,Ludacris,2004
2142,Jesus Walks,Kanye West,2004
2143,Locked Up,Akon,2004
2144,Stand Up,Ludacris,2004
2145,Suga Suga,Baby Bash,2004
2146,All Falls Down,Kanye West,2004
2147,Toxic,Britney Spears,2004
2148,Salt Shaker,Ying Yang Twins,2004
2149,With You,Jessica Simpson,2004
2150,Meant to Live,Switchfoot,2004
2151,I Like That,Houston,2004
2152,Sorry 2004,Ruben Studdard,2004
2153,My Happy Ending,Avril Lavigne,2004
2154,On Fire,Lloyd Banks,2004
2155,Roses,Outkast,2004
2156,Walked Outta Heaven,Jagged Edge,2004
2157,Lose My Breath,Destiny's Child,2004
2158,My Band,D12,2004
2159,I'm Still in Love with You,Sean Paul,2004
2160,Through the Wire,Kanye West,2004
2161,Why?,Jadakiss,2004
2162,Fuck It (I Don't Want You Back),Eamon,2004
2163,Read Your Mind,Avant,2004
2164,Game Over (Flip),Lil' Flip,2004
2165,One Thing,Finger Eleven,2004
2166,Headsprung,LL Cool J,2004
2167,Damn!,YoungBloodZ,2004
2168,Baby Boy,Beyoncé,2004
2169,Get Low,Lil Jon & the East Side Boyz,2004
2170,Drop It Like It's Hot,Snoop Dogg,2004
2171,U Should've Known Better,Monica,2004
2172,On the Way Down,Ryan Cabrera,2004
2173,Breakaway,Kelly Clarkson,2004
2174,Why Don't You & I,Santana,2004
2175,Are You Gonna Be My Girl,Jet,2004
2176,100 Years,Five for Fighting,2004
2177,Step in the Name of Love,R. Kelly,2004
2178,Breaking the Habit,Linkin Park,2004
2179,Gigolo,Nick Cannon,2004
2180,Live Like You Were Dying,Tim McGraw,2004
2181,Remember When,Alan Jackson,2004
2182,Everytime,Britney Spears,2004
2183,Southside,Lloyd,2004
2184,Dude,Beenie Man,2004
2185,Wanna Get to Know You,G-Unit,2004
2186,Holidae In,Chingy,2004
2187,Let's Get It Started,The Black Eyed Peas,2004
2188,When the Sun Goes Down,Kenny Chesney,2004
2189,American Soldier,Toby Keith,2004
2190,Change Clothes,Jay-Z,2004
2191,Don't Tell Me,Avril Lavigne,2004
2192,You'll Think of Me,Keith Urban,2004
2193,Happy People,R. Kelly,2004
2194,Hey Mama,The Black Eyed Peas,2004
2195,Over and Over,Nelly,2004
2196,Redneck Woman,Gretchen Wilson,2004
2197,Just Lose It,Eminem,2004
2198,Letters from Home,John Michael Montgomery,2004
2199,I Go Back,Kenny Chesney,2004
2200,We Belong Together,Mariah Carey,2005
2201,Hollaback Girl,Gwen Stefani,2005
2202,Let Me Love You,Mario,2005
2203,Since U Been Gone,Kelly Clarkson,2005
2204,"1, 2 Step",Ciara,2005
2205,Gold Digger,Kanye West,2005
2206,Boulevard of Broken Dreams,Green Day,2005
2207,Candy Shop,50 Cent,2005
2208,Don't Cha,The Pussycat Dolls,2005
2209,Behind These Hazel Eyes,Kelly Clarkson,2005
2210,Disco Inferno,50 Cent,2005
2211,You and Me,Lifehouse,2005
2212,Don't Phunk with My Heart,The Black Eyed Peas,2005
2213,Lose Control,Missy Elliott,2005
2214,Shake It Off,Mariah Carey,2005
2215,Mr. Brightside,The Killers,2005
2216,Just a Lil Bit,50 Cent,2005
2217,Pon de Replay,Rihanna,2005
2218,How We Do,The Game,2005
2219,Beverly Hills,Weezer,2005
2220,Oh,Ciara,2005
2221,Lonely No More,Rob Thomas,2005
2222,Drop It Like It's Hot,Snoop Dogg,2005
2223,Hate It or Love It,The Game,2005
2224,Lovers & Friends,Lil Jon,2005
2225,Soldier,Destiny's Child,2005
2226,Breakaway,Kelly Clarkson,2005
2227,Switch,Will Smith,2005
2228,Let Me Hold You,Bow Wow,2005
2229,Like You,Bow Wow,2005
2230,Rich Girl,Gwen Stefani,2005
2231,My Humps,The Black Eyed Peas,2005
2232,Obsession (No Es Amor),Frankie J,2005
2233,Caught Up,Usher,2005
2234,Listen to Your Heart,DHT,2005
2235,Scars,Papa Roach,2005
2236,Feel Good Inc.,Gorillaz,2005
2237,Let Me Go,3 Doors Down,2005
2238,Holiday,Green Day,2005
2239,"Sugar, We're Goin Down",Fall Out Boy,2005
2240,Grind with Me,Pretty Ricky,2005
2241,Run It!,Chris Brown,2005
2242,Photograph,Nickelback,2005
2243,Lonely,Akon,2005
2244,Collide,Howie Day,2005
2245,Wake Me Up When September Ends,Green Day,2005
2246,Slow Down,Bobby Valentino,2005
2247,Over and Over,Nelly,2005
2248,Some Cut,Trillville,2005
2249,Get It Poppin',Fat Joe,2005
2250,Play,David Banner,2005
2251,Soul Survivor,Young Jeezy,2005
2252,Pimpin' All Over the World,Ludacris,2005
2253,My Boo,Usher and Alicia Keys,2005
2254,Sugar (Gimme Some),Trick Daddy,2005
2255,Karma,Alicia Keys,2005
2256,Speed of Sound,Coldplay,2005
2257,I Don't Want to Be,Gavin DeGraw,2005
2258,Mockingbird,Eminem,2005
2259,La Tortura,Shakira,2005
2260,She Will Be Loved,Maroon 5,2005
2261,Baby I'm Back,Baby Bash,2005
2262,Wait (The Whisper Song),Ying Yang Twins,2005
2263,Incomplete,Backstreet Boys,2005
2264,Bring Em Out,T.I.,2005
2265,Cater 2 U,Destiny's Child,2005
2266,1 Thing,Amerie,2005
2267,Best of You,Foo Fighters,2005
2268,It's Like That,Mariah Carey,2005
2269,Goin' Crazy,Natalie,2005
2270,Inside Your Heaven,Carrie Underwood,2005
2271,Because of You,Kelly Clarkson,2005
2272,Truth Is,Fantasia,2005
2273,Your Body,Pretty Ricky,2005
2274,Beautiful Soul,Jesse McCartney,2005
2275,Cool,Gwen Stefani,2005
2276,Get Back,Ludacris,2005
2277,Outta Control,50 Cent,2005
2278,U Don't Know Me,T.I.,2005
2279,These Words,Natasha Bedingfield,2005
2280,Don't Lie,The Black Eyed Peas,2005
2281,Get Right,Jennifer Lopez,2005
2282,Daughters,John Mayer,2005
2283,As Good as I Once Was,Toby Keith,2005
2284,Girlfight,Brooke Valentine,2005
2285,Lose My Breath,Destiny's Child,2005
2286,Ordinary People,John Legend,2005
2287,We Be Burnin',Sean Paul,2005
2288,Just the Girl,The Click Five,2005
2289,True,Ryan Cabrera,2005
2290,O,Omarion,2005
2291,Back Then,Mike Jones,2005
2292,Numb/Encore,Jay-Z and Linkin Park,2005
2293,Wonderful,Ja Rule,2005
2294,I'm Sprung,T-Pain,2005
2295,Chariot,Gavin DeGraw,2005
2296,U Already Know,112,2005
2297,Mississippi Girl,Faith Hill,2005
2298,Number One Spot,Ludacris,2005
2299,Give Me That,Webbie,2005
2300,Bad Day,Daniel Powter,2006
2301,Temperature,Sean Paul,2006
2302,Promiscuous,Nelly Furtado,2006
2303,You're Beautiful,James Blunt,2006
2304,Hips Don't Lie,Shakira,2006
2305,Unwritten,Natasha Bedingfield,2006
2306,Crazy,Gnarls Barkley,2006
2307,Ridin',Chamillionaire,2006
2308,SexyBack,Justin Timberlake,2006
2309,Check on It,Beyoncé,2006
2310,Be Without You,Mary J. Blige,2006
2311,Grillz,"Nelly, Paul Wall and Ali & Gipp",2006
2312,Over My Head (Cable Car),The Fray,2006
2313,Me & U,Cassie,2006
2314,Buttons,Pussycat Dolls,2006
2315,Run It!,Chris Brown,2006
2316,So Sick,Ne-Yo,2006
2317,It's Goin' Down,Yung Joc,2006
2318,SOS,Rihanna,2006
2319,I Write Sins Not Tragedies,Panic! at the Disco,2006
2320,Move Along,The All-American Rejects,2006
2321,London Bridge,Fergie,2006
2322,Dani California,Red Hot Chili Peppers,2006
2323,Snap Yo Fingers,Lil Jon,2006
2324,"Lean wit It, Rock wit It",Dem Franchize Boyz,2006
2325,What Hurts the Most,Rascal Flatts,2006
2326,How to Save a Life,The Fray,2006
2327,Unfaithful,Rihanna,2006
2328,Chasing Cars,Snow Patrol,2006
2329,Lips of an Angel,Hinder,2006
2330,Everytime We Touch,Cascada,2006
2331,Ain't No Other Man,Christina Aguilera,2006
2332,"Dance, Dance",Fall Out Boy,2006
2333,Gold Digger,Kanye West,2006
2334,Money Maker,Ludacris,2006
2335,Ms. New Booty,Bubba Sparxxx,2006
2336,(When You Gonna) Give It Up to Me,Sean Paul,2006
2337,Photograph,Nickelback,2006
2338,Because of You,Kelly Clarkson,2006
2339,Stickwitu,Pussycat Dolls,2006
2340,I'm 'n Luv (wit a Stripper),T-Pain,2006
2341,My Humps,The Black Eyed Peas,2006
2342,Where'd You Go,Fort Minor,2006
2343,Yo (Excuse Me Miss),Chris Brown,2006
2344,Walk Away,Kelly Clarkson,2006
2345,Laffy Taffy,D4L,2006
2346,What You Know,T.I.,2006
2347,Dirty Little Secret,The All-American Rejects,2006
2348,Savin' Me,Nickelback,2006
2349,Don't Forget About Us,Mariah Carey,2006
2350,Sexy Love,Ne-Yo,2006
2351,U and Dat,E-40,2006
2352,Far Away,Nickelback,2006
2353,What's Left of Me,Nick Lachey,2006
2354,So What,Field Mob,2006
2355,Do It to It,Cherish,2006
2356,Black Horse and the Cherry Tree,KT Tunstall,2006
2357,There It Go (The Whistle Song),Juelz Santana,2006
2358,Shoulder Lean,Young Dro,2006
2359,Unpredictable,Jamie Foxx,2006
2360,My Love,Justin Timberlake,2006
2361,Shake That,Eminem,2006
2362,Pullin' Me Back,Chingy,2006
2363,Bossy,Kelis,2006
2364,Chain Hang Low,Jibbs,2006
2365,Smack That,Akon,2006
2366,One Wish,Ray J,2006
2367,"Sugar, We're Goin Down",Fall Out Boy,2006
2368,Gimme That,Chris Brown,2006
2369,I Know You See It,Yung Joc,2006
2370,Who Says You Can't Go Home,Bon Jovi,2006
2371,Too Little Too Late,JoJo,2006
2372,Touch It,Busta Rhymes,2006
2373,Rompe,Daddy Yankee,2006
2374,Déjà Vu,Beyoncé,2006
2375,Life Is a Highway,Rascal Flatts,2006
2376,Call Me When You're Sober,Evanescence,2006
2377,"Jesus, Take the Wheel",Carrie Underwood,2006
2378,Show Stopper,Danity Kane,2006
2379,Get Up,Ciara,2006
2380,We Be Burnin',Sean Paul,2006
2381,Hate Me,Blue October,2006
2382,You and Me,Lifehouse,2006
2383,Beep,Pussycat Dolls,2006
2384,I Think They Like Me,Dem Franchize Boyz,2006
2385,Say Goodbye,Chris Brown,2006
2386,Waiting on the World to Change,John Mayer,2006
2387,Soul Survivor,Young Jeezy,2006
2388,Pump It,The Black Eyed Peas,2006
2389,When I'm Gone,Eminem,2006
2390,Hung Up,Madonna,2006
2391,Stay Fly,Three 6 Mafia,2006
2392,Love,Keyshia Cole,2006
2393,When You're Mad,Ne-Yo,2006
2394,Why You Wanna,T.I.,2006
2395,Stupid Girls,Pink,2006
2396,Feel Good Inc.,Gorillaz,2006
2397,I'm Sprung,T-Pain,2006
2398,Do I Make You Proud,Taylor Hicks,2006
2399,For You I Will (Confidence),Teddy Geiger,2006
2400,Irreplaceable,Beyoncé,2007
2401,Umbrella,Rihanna,2007
2402,The Sweet Escape,Gwen Stefani,2007
2403,Big Girls Don't Cry,Fergie,2007
2404,Buy U a Drank (Shawty Snappin'),T-Pain,2007
2405,Before He Cheats,Carrie Underwood,2007
2406,Hey There Delilah,Plain White T's,2007
2407,I Wanna Love You,Akon,2007
2408,Say It Right,Nelly Furtado,2007
2409,Glamorous,Fergie,2007
2410,Don't Matter,Akon,2007
2411,Girlfriend,Avril Lavigne,2007
2412,Makes Me Wonder,Maroon 5,2007
2413,Party Like a Rockstar,Shop Boyz,2007
